"article_id","full_name","sex","birth_year","city","state","country","continent","latitude","longitude","occupation","industry","domain","article_languages","page_views","average_views","historical_popularity_index"
13623554,"Che Guevara","Male","1928","Rosario","","Argentina","South America",-32.95,-60.66667,"Social Activist","Activism","Public Figure",129,54896869,425557,29.1644
15941,"Jean-Jacques Rousseau","Male","1712","Geneva","","Switzerland","Europe",46.2,6.15,"Philosopher","Philosophy","Humanities",106,26399173,249049,29.1628
65119,"Laozi","Male","-400","Henan","","China","Asia",33.9,113.5,"Philosopher","Philosophy","Humanities",105,6743614,64225,29.1483
19379,"Mahatma Gandhi","Male","1869","Porbandar","","India","Asia",21.63,69.6,"Social Activist","Activism","Public Figure",138,44366012,321493,29.1406
26983,"Saladin","Male","1138","Tikrit","","Iraq","Asia",34.6,43.68333,"Politician","Government","Institutions",104,14119978,135769,29.1401
31665644,"Saint Peter","Male","0","Bethsaida","","Syria","Asia",32.91,35.631,"Religious Figure","Religion","Institutions",98,14650751,149497,29.1364
27784,"Sappho","Female","-625","Lesbos Island","","Greece","Europe",39.16667,26.33333,"Writer","Language","Humanities",82,5492117,66977,29.1232
2023,"Aeschylus","Male","-525","Eleusina","","Greece","Europe",38.03333,23.53333,"Writer","Language","Humanities",74,6231138,84205,29.0996
23979,"Ptolemy","Male","90","Egypt","","Egypt","Africa",31.2,29.91667,"Astronomer","Natural Sciences","Science & Technology",87,9459640,108731,29.0892
16125,"John the Baptist","Male","-5","Jerusalem","","Israel","Asia",NA,NA,"Religious Figure","Religion","Institutions",78,10702126,137207,29.0865
30570,"Trajan","Male","53","Italica","","Spain","Europe",37.44389,-6.04667,"Politician","Government","Institutions",72,6299821,87498,29.0781
20787,"Mary Magdalene","Female","1","Magdala","","Israel","Asia",32.825,35.5075,"Religious Figure","Religion","Institutions",65,13657412,210114,29.0759
13792,"Heraclitus","Male","-535","Ephesus","","Turkey","Asia",37.94111,27.34194,"Philosopher","Philosophy","Humanities",72,7690246,106809,29.0696
13151,"Gilgamesh","Male","-3500","Other","","Iraq","Asia",NA,NA,"Politician","Government","Institutions",54,9602219,177819,29.0492
45080,"Vasco da Gama","Male","1469","Sines","","Portugal","Europe",37.95472,-8.86444,"Explorer","Explorers","Exploration",119,12831158,107825,29.0264
1814,"Adam Smith","Male","1723","Kirkcaldy","","United Kingdom","Europe",56.11073,-3.16737,"Economist","Social Sciences","Science & Technology",111,20395667,183745,29.0105
10128,"Elizabeth I of England","Female","1533","London","","United Kingdom","Europe",51.48222,-0.00667,"Politician","Government","Institutions",106,39290364,370664,29.0005
13693,"Horace","Male","-65","Venusia","","Italy","Europe",40.96177,15.81479,"Writer","Language","Humanities",76,5211790,68576,29
18553,"Louis XIV of France","Male","1638","Paris","","France","Europe",48.89806,2.09639,"Politician","Government","Institutions",89,25431554,285748,28.9814
39356,"Anne Boleyn","Female","1501","Norfolk or Kent","","United Kingdom","Europe",51.18348,0.11055,"Companion","Companions","Public Figure",62,25342861,408756,28.9534
19914843,"Ferdinand Magellan","Male","1480","Sabrosa","","Portugal","Europe",41.28444,-7.595,"Explorer","Explorers","Exploration",120,14936167,124468,28.9393
15641,"Joseph Stalin","Male","1878","Gori","","Georgia","Asia",41.96667,44.1,"Politician","Government","Institutions",134,42908561,320213,28.9317
21476519,"Ramesses II","Male","-1303","Other","","Egypt","Africa",NA,NA,"Politician","Government","Institutions",59,10524828,178387,28.9233
11015252,"Vladimir Lenin","Male","1870","Ulyanovsk","","Russia","Europe",54.31667,48.36667,"Politician","Government","Institutions",137,27160642,198253,28.9211
94111,"Leonidas I","Male","-540","Sparta","","Greece","Europe",37.08194,22.42361,"Politician","Government","Institutions",57,11025629,193432,28.9027
1130,"Avicenna","Male","980","Bukhara","","Uzbekistan","Asia",39.76667,64.43333,"Philosopher","Philosophy","Humanities",102,10026549,98300,28.8917
89728,"Akhenaten","Male","-1380","Other","","Egypt","Africa",26,30,"Politician","Government","Institutions",62,7197331,116086,28.856
15745,"Johannes Gutenberg","Male","1398","Mainz","","Germany","Europe",50,8.26667,"Inventor","Invention","Science & Technology",108,11713571,108459,28.8535
9808,"Euripides","Male","-480","Salamis Island","","Greece","Europe",37.93333,23.5,"Writer","Language","Humanities",65,5941148,91402,28.8391
75150,"Seneca the Younger","Male","-4","Córdoba","","Spain","Europe",37.88333,-4.76667,"Philosopher","Philosophy","Humanities",62,8549935,137902,28.8207
